company,owner,phone,website,email,location,source
Crush Boutique,,+16174240010,http://www.shopcrushboutique.com,,"Boston, MA",yellowpages
RueLaLa,,+16176710088,https://www.ruelala.com/help/privacy,,"Boston, MA",yellowpages
Fresh as a Daisy Naturals Boutique,,+16178941733,http://freshasadaisynaturalsboutique.localsearch.com,,"Boston, MA",yellowpages
Lou Lou,,+18577534540,http://www.loulouboutiques.com,,"Boston, MA",yellowpages
Luxe Boutique,,+16172483986,http://lottaluxe.com,,"Boston, MA",yellowpages
Get Ugly Sweaters,,+18574150643,http://getuglysweaters.localsearch.com,,"Boston, MA",yellowpages
Good,,+16177229200,http://goodma.localsearch.com,,"Boston, MA",yellowpages
Brocade,,+16172172864,http://brocadema.localsearch.com,,"Boston, MA",yellowpages
Ensemble,,+16174558711,https://ensembleboston.wordpress.com,,"Boston, MA",yellowpages
Whitney & Winston,,+16177202600,http://whitneyandwinston.com,,"Boston, MA",yellowpages
for Now,,+18572334639,http://itsfornow.com,,"Boston, MA",yellowpages
Le Labo,,+18572637542,http://lelabofragrances.com,,"Boston, MA",yellowpages
Trend,,+18572335688,https://trendboston.com/pages/contact,,"Boston, MA",yellowpages
Soodee,,+16172667888,https://soodee.com/pages/contact-us,,"Boston, MA",yellowpages
Place & Gather,,+16172867964,https://www.placeandgather.com,,"Boston, MA",yellowpages
Archangel Boutique,,+16172965900,http://www.archangelboutique.com,,"Boston, MA",yellowpages
Swell Body and Boutique,,+16172427600,http://swellbodyandboutique.localsearch.com,,"Boston, MA",yellowpages
Dew Luxe,,+16173157531,http://squareup.com/store/dewluxe,,"Boston, MA",yellowpages
Wolford Boutiques,,+16172368995,http://wolford.com,,"Boston, MA",yellowpages
Fete Collection,,+18574961350,http://shopfete.com,,"Boston, MA",yellowpages
Lit Botique,,+18573504342,https://litboutique.com,,"Boston, MA",yellowpages
La Guanaquita Boutique,,+16174185671,http://laguanaquitaboutique.localsearch.com,,"Boston, MA",yellowpages
Variedades J and J,,+16174187826,http://variedadesjandj.localsearch.com,,"Boston, MA",yellowpages
Gucci - Boston Copley Place,,+16172473000,https://www.gucci.com/global/store/100-huntington-avenue?utm_source=yext_us&utm_medium=storemarketing&utm_campaign=gbp_23047&y_source=1_MTI0NDE1Ny01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,"Boston, MA",yellowpages
K M Hudson Ltd,,+16176249620,http://kmhudsonltd.localsearch.com,,"Boston, MA",yellowpages
Flair Bridesmaid Boutique,,+16172472828,http://flairbridesmaidboutique.localsearch.com,,"Boston, MA",yellowpages
Musette Bridal Boutique,,+16174241070,https://musettebridal.com,,"Boston, MA",yellowpages
Sooki,,+16175360809,http://sookiboston.com,,"Boston, MA",yellowpages
Margaret O'Leary Women's Apparel,,+18572335627,https://www.margaretoleary.com/pages/events-edina,,"Boston, MA",yellowpages
Juicy Couture,,+16172365514,http://juicycouture.com,,"Boston, MA",yellowpages
L'elite Occasion & Bridesmaids,,+16174241020,https://lelite.com,,"Boston, MA",yellowpages
Alice and Olivia,,+18572332185,https://www.aliceandolivia.com,,"Boston, MA",yellowpages
Zadig & Voltaire,,+18573266280,https://storelocator.zadig-et-voltaire.com/en_us/zadigandvoltaire-585,,"Boston, MA",yellowpages
Viola Lovely,,+18572770746,http://www.violalovely.com,,"Boston, MA",yellowpages
Lipstick,,+16172676900,https://www.liplab.com,,"Boston, MA",yellowpages
Pretty Reckless,,+16177658881,http://prettyreckless.localsearch.com,,"Boston, MA",yellowpages
Riccardi Boutique,,+16172663158,http://www.riccardiboston.com,,"Boston, MA",yellowpages
Niche,,+18577534294,http://www.nicheboston.com,,"Boston, MA",yellowpages
Vilma's Boutique,,+16175670999,http://yourinvitationplace.com/vilmasboutique,,"Boston, MA",yellowpages
